SCHL_ID,CASEID,STU_WT,age,Q1,exercise,pcgame,tv,fastfood,bmi,a,b,c,d,e,f,g,h,green_have,male
10202,44,7513.5,15,1,4,3,-9,5,21.59,5,5,5,5,5,5,5,5, ,1
10202,311,5173.43,17,1,1,2,4,5,17.9,5,1,2,3,2,2,5,5, ,1
10202,1185,1853.92,16,2,1,1,4,2,25.53,5,4,5,4,3,3,5,4, ,0
10202,1274,1424.89,15,1,3,5,6,3,28,5,5,4,5,5,5,5,5, ,1
10202,1727,5173.43,15,2,1,5,6,2,27.92,2,5,4,5,3,5,5,5, ,0
10202,2012,1853.92,16,1,3,3,4,3,31.86,5,5,5,5,5,5,5,4, ,1
10202,2180,1424.89,14,2,5,2,2,4,22.27,3,2,1,5,1,4,5,5, ,0
10202,2359,1853.92,14,1,3,6,5,4,18.61,5,5,4,4,3,2,4,5, ,1
10202,2386,1424.89,15,2,2,5,2,4,19.59,4,4,4,2,2,2,2,4, ,0
10202,4260,10388.13,14,1,3,4,4,5,20.76,5,1,5,4,4,5,5,5, ,1
10202,6109,1853.92,15,1,3,2,3,2,21.58,5,5,5,2,2,5,5,5, ,1
10202,6400,1424.89,14,1,1,3,3,4,-9,5,4,5,5,3,5,5,5, ,1
10202,6479,1424.89,15,1,4,3,3,4,19.16,5,5,5,5,5,4,5,5, ,1
10202,6513,1424.89,14,1,4,6,8,4,-9,5,5,5,5,5,5,5,5, ,1
10202,6536,16331.41,15,1,3,4,3,4,25.64,4,5,5,3,2,5,5,5, ,1
10202,8766,1853.92,16,2,5,2,5,5,17.68,2,3,1,2,3,2,4,3, ,0
10202,9132,1424.89,15,2,4,7,7,5,21.83,5,5,5,5,2,5,1,2, ,0
10202,9282,1424.89,15,2,1,-9,9,4,-9,5,5,3,5,5,4,3,5, ,0
10202,9297,5173.43,15,1,3,3,4,5,20.79,3,3,4,4,2,1,2,3, ,1
10202,9559,1853.92,16,2,1,1,7,4,24.75,5,4,2,5,5,5,4,3, ,0
10202,9601,1424.89,14,1,1,5,2,3,-9,5,5,5,5,5,5,2,5, ,1
10202,9703,1853.92,16,1,5,1,3,2,28.13,5,5,2,3,5,5,5,5, ,1
10202,10355,1424.89,15,2,3,5,6,5,23.25,2,2,5,4,1,1,1,5, ,0
10202,10692,1853.92,15,1,2,4,3,6,19.93,4,5,5,5,3,4,4,5, ,1
10202,10729,1424.89,14,2,3,4,4,4,-9,3,4,3,3,2,3,2,4, ,0
10202,11012,10388.13,17,2,3,2,4,3,18.98,5,4,1,3,4,5,5,4, ,0
10202,11052,1853.92,15,1,6,-9,3,6,-9,2,2,2,2,1,5,1,1, ,1
10202,11709,1424.89,14,1,1,7,4,2,30.05,5,5,5,5,5,5,5,5, ,1
10202,11752,1853.92,15,2,3,1,7,4,20.09,3,4,-9,1,2,3,4,4, ,0
10202,11772,7513.5,17,1,4,1,5,6,23.58,5,4,3,5,5,5,2,5, ,1
10202,11781,1424.89,14,2,4,2,3,4,24.83,5,5,4,5,5,4,5,4, ,0
10202,11862,1424.89,15,2,1,2,4,5,22.41,2,3,2,2,3,-9,5,3, ,0
10202,12264,10388.13,15,1,3,4,2,4,19.1,4,5,5,5,5,5,5,5, ,1
